fichier;page;xref;px;place_pt;bbox;alpha;poids_ko
cv_portrait_01.jpg;1;1303;363x353;87x85;(33,60)-(120,145);non;101
process_logo_rhino_ia_01.png;2;150;104x104;25x25;(309,132)-(334,157);oui;6
process_logo_rhino_concept_01.png;2;150;104x104;25x25;(70,142)-(95,167);oui;6
process_logo_sketchup_concept_01.jpg;2;151;105x94;25x22;(95,143)-(120,165);non;6
process_logo_illustrator_postprod_01.png;2;164;95x94;23x23;(607,194)-(630,217);non;3
process_logo_photoshop_postprod_01.png;2;147;95x94;23x23;(628,194)-(650,217);non;3
process_logo_premiere_postprod_01.png;2;163;101x101;24x24;(614,248)-(639,272);non;2
process_logo_blender_environnement_01.png;2;160;85x69;20x17;(320,272)-(340,289);oui;3
process_logo_rhino_parametrique_01.png;2;154;114x102;27x24;(164,321)-(191,345);oui;8
process_logo_grasshopper_parametrique_01.png;2;143;118x107;28x26;(191,321)-(220,346);oui;4
process_logo_substance_designer_01.png;2;161;98x94;23x23;(320,338)-(343,361);non;5
process_logo_substance_sampler_01.png;2;162;99x94;24x23;(339,338)-(363,361);non;5
process_logo_illustrator_textures_01.png;2;146;90x89;21x21;(363,339)-(385,360);non;3
process_logo_unity_vr_01.png;2;152;109x109;26x26;(570,319)-(596,345);non;5
process_logo_rhino_modele3d_01.png;2;145;112x105;27x25;(206,379)-(233,404);oui;9
process_logo_blender_modele3d_01.png;2;158;94x77;22x18;(178,380)-(200,398);oui;4
process_logo_marvelousdesigner_modele3d_01.jpg;2;148;79x79;19x19;(183,406)-(202,425);non;4
process_logo_zbrush_modele3d_01.png;2;156;92x92;22x22;(208,405)-(230,427);oui;4
hermes_hw2019_vitrine_finale_01.jpg;3;172;670x668;356x355;(397,125)-(753,479);non;185
hermes_hw2019_modele3d_coquillage_01.jpg;4;176;679x1147;201x119;(78,148)-(279,267);non;137
hermes_hw2019_atelier_photo_01.jpg;4;179;1511x959;362x230;(363,148)-(725,378);non;255
hermes_hw2019_modele3d_chateau_01.jpg;4;177;934x903;158x152;(100,266)-(257,418);non;162
hermes_hw2019_atelier_photo_02.jpg;4;181;1511x713;362x171;(363,394)-(725,565);non;153
hermes_hw2019_modele3d_eventail_01.jpg;4;182;656x499;157x120;(98,441)-(255,560);non;61
